folderId,seq,favoriteType,color,memo,display1,display2,x,y,lon,lat,key,createdAt,updatedAt
4049789,559830778,PLACE,2,,계양제로웨이스트,인천 계양구 계양대로205번길 11-3 (계산동),438565,1122937,126.7219389,37.54175736,999931519,2023-07-18 12:24:54,2023-07-18 12:24:54
4049789,559830683,PLACE,2,,제로웨이스트샵 둥근네모,부산 연제구 신금로 25 (연산동),976898,475904,129.0943739,35.19160395,453171948,2023-07-18 12:24:41,2023-07-18 12:24:41
4049789,559830590,PLACE,2,,ESD씨앗상점 제로웨이스트샵,경남 통영시 용남면 화삼리 202,831480,378595,128.4497678,34.850228,1613295853,2023-07-18 12:24:32,2023-07-18 12:24:32
4049789,559830520,PLACE,2,,프롬미,경기 김포시 김포한강9로115번길 56 1층 101호 (구래동),416789,1152425,126.6228443,37.64775381,986489768,2023-07-18 12:24:23,2023-07-18 12:24:23
4049789,559830415,PLACE,2,,비모크 제로웨이스트샵,부산 강서구 명지국제8로10번길 46 1층 120호 (명지동),933693,448085,128.9023953,35.09449109,377413262,2023-07-18 12:24:12,2023-07-18 12:24:12
4049789,559830339,PLACE,2,,ARTINSIGHT제로웨이스트샵,서울 영등포구 당산로16길 17-1 (당산동1가),477464,1117536,126.8980292,37.52257548,1346722781,2023-07-18 12:24:03,2023-07-18 12:24:03
4049789,559830255,PLACE,2,,제로웨이스트샵 아양로99,대구 동구 아양로 99 동관 1층 (신암동),866803,666061,128.62484,35.88428243,207654639,2023-07-18 12:23:51,2023-07-18 12:23:51
4049789,559830086,PLACE,2,,해달별 제로웨이스트 샵,서울 강남구 자곡로 191 강남 푸르지오시티1차 지하1 06호 (자곡동),522902,1104273,127.1035666,37.47477303,729873244,2023-07-18 12:23:31,2023-11-07 21:15:29
4049789,559829999,PLACE,2,,제로웨이스트샵 1도씨,경기 평택시 고덕국제3길 123 (고덕동),510572,986763,127.0475437,37.05128387,2070906141,2023-07-18 12:23:20,2023-07-18 12:23:20
4049789,559829882,PLACE,2,,제로웨이스트샵 푸른사이,충남 천안시 서북구 늘푸른3길 37 (두정동),529222,924475,127.1310231,36.82671061,1487666487,2023-07-18 12:23:05,2023-07-18 12:23:05
4049789,559829787,PLACE,2,,제로 웨이스트샵 후후,충남 아산시 도고면 아산만로 171 2층 (도고면 신언리),470507,905611,126.8678831,36.7587159,1848637262,2023-07-18 12:22:53,2023-07-18 12:22:53
4049789,559829578,PLACE,2,,지구로운 제로웨이스트샵,충남 보령시 명천로4길 21 1동 105호 (명천동),412150,788250,126.6086027,36.33510748,857741793,2023-07-18 12:22:28,2023-07-18 12:22:28
4049789,554590481,PLACE,2,,빛나는 숲솝샵,부산 해운대구 우동2로 66 1층 (우동),991220,469929,129.1566632,35.16897207,1416606475,2023-07-07 17:40:25,2024-09-08 11:49:10
